rank,shortname,url,length_chars,words,difficulty,name
1,hello,https://open.kattis.com/problems/hello,118,19,1.1,Hello World!
2,velkomin,https://open.kattis.com/problems/velkomin,202,29,1.0,Velkomin!
3,largestfactor,https://open.kattis.com/problems/largestfactor,215,42,2.2,Largest Factor
4,positivedivisors,https://open.kattis.com/problems/positivedivisors,224,43,2.6,Positive Divisors
5,gcd,https://open.kattis.com/problems/gcd,240,47,1.4,GCD
6,sumsofprimes,https://open.kattis.com/problems/sumsofprimes,245,48,3.0,Sums of Primes
7,binaryexponentiation,https://open.kattis.com/problems/binaryexponentiation,250,46,3.1,Binary Exponentiation
8,whichisgreater,https://open.kattis.com/problems/whichisgreater,251,49,1.2,Which is Greater?
9,ones,https://open.kattis.com/problems/ones,253,53,4.1,Ones
10,catalan,https://open.kattis.com/problems/catalan,263,52,2.9,Catalan Numbers
11,euclidsalgorithm,https://open.kattis.com/problems/euclidsalgorithm,266,49,1.6,Euclid's Algorithm
12,divisorcounts,https://open.kattis.com/problems/divisorcounts,277,58,2.8,Divisor Counts
13,factorialpower,https://open.kattis.com/problems/factorialpower,281,58,3.4,Factorial Power
14,divisorsofasum,https://open.kattis.com/problems/divisorsofasum,282,58,4.7,Divisors of a sum
15,twosum,https://open.kattis.com/problems/twosum,289,60,1.2,Two-sum
16,threesandfives,https://open.kattis.com/problems/threesandfives,305,60,4.2,Threes and Fives
17,rootofminusone,https://open.kattis.com/problems/rootofminusone,317,67,4.5,Root of Minus One
18,gcdsum2,https://open.kattis.com/problems/gcdsum2,320,67,5.5,GCD Sum 2
19,veci,https://open.kattis.com/problems/veci,326,67,1.5,Veci
20,gausssquares,https://open.kattis.com/problems/gausssquares,334,65,4.1,Gauss Squares
21,bigfactoring,https://open.kattis.com/problems/bigfactoring,339,65,7.4,Big Factoring
22,verditheradgodu,https://open.kattis.com/problems/verditheradgodu,345,58,1.1,Enjoy Your Repast!
23,different,https://open.kattis.com/problems/different,346,57,2.3,A Different Problem
24,doublepalindromes,https://open.kattis.com/problems/doublepalindromes,346,68,4.6,Double Palindromes
25,gcdsum,https://open.kattis.com/problems/gcdsum,351,75,5.8,GCD Sum
26,tritiling,https://open.kattis.com/problems/tritiling,357,66,2.4,Tri Tiling
27,hipphipp,https://open.kattis.com/problems/hipphipp,360,56,1.1,Hipp Hipp
28,sretan,https://open.kattis.com/problems/sretan,376,71,2.7,Sretan
29,stringmatching,https://open.kattis.com/problems/stringmatching,378,69,3.2,String Matching
30,empleh,https://open.kattis.com/problems/empleh,379,74,1.9,Emag Eht Htiw Em Pleh
31,trailingdigits2,https://open.kattis.com/problems/trailingdigits2,379,79,3.1,Trailing Digits
32,tilhamingju,https://open.kattis.com/problems/tilhamingju,385,56,1.0,Til hamingju
33,almostpythagorean,https://open.kattis.com/problems/almostpythagorean,389,84,6.1,Almost Pythagorean
34,simpleaddition,https://open.kattis.com/problems/simpleaddition,394,69,3.6,Simple Addition
35,dualdivisibility,https://open.kattis.com/problems/dualdivisibility,402,81,3.2,Dual Divisibility
36,decimaldeletion,https://open.kattis.com/problems/decimaldeletion,410,71,1.2,Decimal deletion
37,primesieve,https://open.kattis.com/problems/primesieve,410,86,4.5,Prime Sieve
38,prettygoodcuberoot,https://open.kattis.com/problems/prettygoodcuberoot,419,82,3.5,Pretty Good Cube Root
39,datum,https://open.kattis.com/problems/datum,420,77,1.5,Datum
40,shortestcompositesum,https://open.kattis.com/problems/shortestcompositesum,424,80,3.3,Shortest Composite Sum
41,smallestmultiple,https://open.kattis.com/problems/smallestmultiple,425,81,2.8,Smallest Multiple
42,dividingsequence,https://open.kattis.com/problems/dividingsequence,429,82,3.4,Dividing Sequence
43,longestcommonsubstring,https://open.kattis.com/problems/longestcommonsubstring,434,84,3.8,Longest Common Substring
44,division,https://open.kattis.com/problems/division,435,84,6.7,Division
45,longestprimesum,https://open.kattis.com/problems/longestprimesum,441,92,2.1,Longest Prime Sum
46,maxcolinear,https://open.kattis.com/problems/maxcolinear,444,82,2.8,Maximum Number of Colinear Points
47,generalchineseremainder,https://open.kattis.com/problems/generalchineseremainder,448,101,2.8,Chinese Remainder Theorem (non-relatively prime moduli)
48,ethanol,https://open.kattis.com/problems/ethanol,449,80,1.5,Ethanol
49,earlytermination,https://open.kattis.com/problems/earlytermination,450,84,3.3,Early Termination
50,gcdandlcm,https://open.kattis.com/problems/gcdandlcm,450,92,3.6,GCD and LCM
51,r2,https://open.kattis.com/problems/r2,450,84,1.5,R2
52,inversetotient,https://open.kattis.com/problems/inversetotient,451,89,6.8,Inverse Totient
53,shortcuttowhat,https://open.kattis.com/problems/shortcuttowhat,452,83,1.1,A Shortcut to What?
54,addingtrouble,https://open.kattis.com/problems/addingtrouble,455,101,1.2,Adding Trouble
55,cetvrta,https://open.kattis.com/problems/cetvrta,456,82,1.3,Cetvrta
56,primality,https://open.kattis.com/problems/primality,457,88,2.2 - 4.9,Primality
57,repeatingdecimal,https://open.kattis.com/problems/repeatingdecimal,462,85,4.2,Repeating Decimal
58,secondopinion,https://open.kattis.com/problems/secondopinion,465,85,1.4,A Second Opinion
59,inquiryi,https://open.kattis.com/problems/inquiryi,465,84,2.4,Inquiry I
60,skocimis,https://open.kattis.com/problems/skocimis,466,89,1.5,Skocimis
61,segmentdistance,https://open.kattis.com/problems/segmentdistance,468,85,3.1,Line Segment Distance
62,telja,https://open.kattis.com/problems/telja,468,93,1.1,Telja
63,heap,https://open.kattis.com/problems/heap,471,74,2.1,Binary Heap
64,ofugsnuid,https://open.kattis.com/problems/ofugsnuid,473,99,1.1 - 1.3,Öfugsnúið
65,productdivisors,https://open.kattis.com/problems/productdivisors,474,95,5.3,Product Divisors
66,einfalt,https://open.kattis.com/problems/einfalt,477,97,1.2 - 2.7,Einfalt Dæmi!
67,chineseremainder,https://open.kattis.com/problems/chineseremainder,481,110,2.9,Chinese Remainder
68,bitteeinbit,https://open.kattis.com/problems/bitteeinbit,483,86,1.3,Bitte ein Bit
69,siffersumma,https://open.kattis.com/problems/siffersumma,483,114,1.6 - 5.2,Digit Sum
70,nine,https://open.kattis.com/problems/nine,484,94,2.5,I Hate The Number Nine
71,yetanotherdivisorproblem,https://open.kattis.com/problems/yetanotherdivisorproblem,491,87,8.0,Yet Another Divisor Problem
72,eveningout1,https://open.kattis.com/problems/eveningout1,492,103,2.2,Evening Out 1
73,eveningout2,https://open.kattis.com/problems/eveningout2,492,102,4.9,Evening Out 2
74,suffixsorting,https://open.kattis.com/problems/suffixsorting,495,91,4.4,Suffix Sorting
75,somesum,https://open.kattis.com/problems/somesum,497,104,2.0,Some Sum
76,gridgame,https://open.kattis.com/problems/gridgame,500,94,4.8,Grid Game
77,champernowneverification,https://open.kattis.com/problems/champernowneverification,502,85,1.5,Champernowne Verification
78,bootstrappingnumber,https://open.kattis.com/problems/bootstrappingnumber,503,98,2.9,Bootstrapping Number
79,brahmaguptafibonacci,https://open.kattis.com/problems/brahmaguptafibonacci,505,108,3.3,Brahmagupta-Fibonacci
80,coprimeintegers,https://open.kattis.com/problems/coprimeintegers,507,108,3.6,Coprime Integers
81,relatives,https://open.kattis.com/problems/relatives,508,101,2.8,Relatives
82,champernownecount,https://open.kattis.com/problems/champernownecount,509,91,3.2,Champernowne Count
83,chardonnay,https://open.kattis.com/problems/chardonnay,509,96,1.6,Chardonnay
84,sumoftheyear,https://open.kattis.com/problems/sumoftheyear,510,108,1.5,Sum of the Year
85,ordinals,https://open.kattis.com/problems/ordinals,511,121,1.9,Ordinals
86,danishdateformat,https://open.kattis.com/problems/danishdateformat,512,83,1.5,Danish Date Format
87,prosjek2,https://open.kattis.com/problems/prosjek2,512,98,5.0,Prosjek
88,factovisors,https://open.kattis.com/problems/factovisors,515,100,5.1,Factovisors
89,tolvunarfraedingartelja,https://open.kattis.com/problems/tolvunarfraedingartelja,518,91,1.1,Tölvunarfræðingar telja
90,closestpair2,https://open.kattis.com/problems/closestpair2,519,97,5.7,Closest Pair
